Metal_Thickness_nm,Theta_res_deg,FWHM_deg,Sensitivity_Empirical_deg_per_RIU,Chi_Empirical,Q_Empirical,Sensitivity_Theoretical_deg_per_RIU,Chi_Theoretical,Q_Theoretical
45,61.230000000000004,1.2800000000000011,81.81818181818747,63.9204545454589,47.83593749999996,88.17899880588736,68.88984281709944,47.83593749999996
46,61.22,1.2000000000000028,90.90909090910222,75.757575757585,51.016666666666545,88.17899880588736,73.48249900490596,51.016666666666545
47,61.2,1.1400000000000006,90.90909090910222,79.74481658693173,53.684210526315766,88.17899880588736,77.34999895253273,53.684210526315766
48,61.19,1.0799999999999983,90.90909090910222,84.17508417509478,56.6574074074075,88.17899880588736,81.6472211165625,56.6574074074075
49,61.18,1.019999999999996,90.90909090909575,89.12655971480011,59.980392156862976,88.17899880588736,86.44999882930168,59.980392156862976
50,61.17,0.9699999999999989,81.81818181819393,84.34864104968457,63.06185567010317,88.17899880588736,90.90618433596646,63.06185567010317
51,61.16,0.9299999999999997,90.90909090910222,97.75171065494865,65.76344086021507,88.17899880588736,94.81612774826601,65.76344086021507
52,61.150000000000006,0.8800000000000026,90.90909090909575,103.30578512397214,69.48863636363618,88.17899880588736,100.20340773396262,69.48863636363618
53,61.14,0.8500000000000014,90.90909090910867,106.95187165777473,71.92941176470576,88.17899880588736,103.73999859516142,71.92941176470576
54,61.129999999999995,0.8200000000000003,90.90909090909575,110.86474501109234,74.54878048780485,88.17899880588736,107.53536439742358,74.54878048780485
55,61.129999999999995,0.7899999999999991,81.81818181818747,103.56731875719944,77.37974683544311,88.17899880588736,111.61898583023729,77.37974683544311
