Metal_Thickness_nm,Theta_res_deg,FWHM_deg,Sensitivity_Empirical_deg_per_RIU,Chi_Empirical,Q_Empirical,Sensitivity_Theoretical_deg_per_RIU,Chi_Theoretical,Q_Theoretical
45,62.2,1.0,100.0000000000105,100.0000000000105,62.2,92.15501092379394,92.15501092379394,62.2
46,62.18,0.9000000000000057,90.90909090910867,101.01010101012011,69.08888888888845,92.15501092379394,102.39445658199261,69.08888888888845
47,62.16,0.8200000000000074,90.90909090910222,110.86474501109927,75.8048780487798,92.15501092379394,112.38415966316232,75.8048780487798
48,62.14,0.75,100.0000000000105,133.33333333334733,82.85333333333334,92.15501092379394,122.87334789839191,82.85333333333334
49,62.129999999999995,0.6900000000000048,90.90909090910222,131.75230566536462,90.04347826086892,92.15501092379394,133.55798684607723,90.04347826086892
50,62.11,0.6400000000000006,100.0000000000105,156.25000000001626,97.04687499999991,92.15501092379394,143.9922045684279,97.04687499999991
51,62.1,0.5900000000000034,90.90909090910867,154.08320493069178,105.25423728813499,92.15501092379394,156.19493376914136,105.25423728813499
52,62.09,0.5399999999999991,90.90909090910222,168.35016835018956,114.98148148148167,92.15501092379394,170.6574276366557,114.98148148148167
53,62.08,0.5,90.90909090909575,181.8181818181915,124.16,92.15501092379394,184.31002184758788,124.16
54,62.07,0.46000000000000085,90.90909090910867,197.62845849806197,134.9347826086954,92.15501092379394,200.33698026911688,134.9347826086954
55,62.06,0.4299999999999997,90.90909090909575,211.41649048626934,144.32558139534893,92.15501092379394,214.31397889254418,144.32558139534893
