Metal_Thickness_nm,Theta_res_deg,FWHM_deg,Sensitivity_Empirical_deg_per_RIU,Chi_Empirical,Q_Empirical,Sensitivity_Theoretical_deg_per_RIU,Chi_Theoretical,Q_Theoretical
45,61.11,1.5799999999999983,90.90909090909575,57.53739930955434,38.67721518987346,87.4639831212324,55.356951342552215,38.67721518987346
46,61.1,1.5,90.90909090910222,60.60606060606815,40.733333333333334,87.4639831212324,58.3093220808216,40.733333333333334
47,61.08,1.4399999999999977,81.81818181818747,56.818181818185835,42.416666666666735,87.4639831212324,60.738877167522595,42.416666666666735
48,61.07,1.3699999999999974,90.90909090910222,66.35700066357839,44.57664233576651,87.4639831212324,63.842323446155156,44.57664233576651
49,61.06,1.3199999999999932,90.90909090910222,68.87052341598688,46.257575757576,87.4639831212324,66.26059327366126,46.257575757576
50,61.05,1.2800000000000011,81.81818181818747,63.9204545454589,47.69531249999996,87.4639831212324,68.33123681346275,47.69531249999996
51,61.05,1.2399999999999949,81.81818181819393,65.98240469209216,49.233870967742135,87.4639831212324,70.53547025905868,49.233870967742135
52,61.04,1.1900000000000048,90.90909090910867,76.39419404126748,51.29411764705861,87.4639831212324,73.49914548002693,51.29411764705861
53,61.03,1.1600000000000037,90.90909090909575,78.36990595611678,52.612068965517075,87.4639831212324,75.39998544933803,52.612068965517075
54,61.019999999999996,1.1300000000000097,81.81818181818747,72.40547063556352,53.99999999999954,87.4639831212324,77.40175497454129,53.99999999999954
55,61.019999999999996,1.0900000000000034,90.90909090910222,83.4028356964238,55.98165137614661,87.4639831212324,80.24218634975425,55.98165137614661
