Metal;Analyte;Metal_Thickness_nm;Theta_res_deg;FWHM_deg;Sensitivity_Empirical_deg_per_RIU;Chi_Empirical;Q_Empirical;Sensitivity_Theoretical_deg_per_RIU;Chi_Theoretical;Q_Theoretical
Au;analyte_02;49;6.613.017.414.765.150;12.900.000.000.000.000;1.018.798.915.097.670;7.897.666.008.509.040;5.126.370.088.965.210;10.197.347.181.950.500;7.904.920.296.085.630;5.126.370.088.965.210
Au;analyte_02;50;6.611.950.160.057.920;1.230.000.000.000.000;10.190.196.454.421.800;8.284.712.564.570.600;5.375.569.235.819.430;10.197.347.181.950.500;829.052.616.418.739;5.375.569.235.819.430
Au;analyte_02;51;6.610.990.901.991.010;11.699.999.999.999.800;10.192.533.939.028.000;8.711.567.469.254.850;5.650.419.574.351.350;10.197.347.181.950.500;8.715.681.352.094.550;5.650.419.574.351.350
Au;analyte_02;52;661.012.823.612.781;11.199.999.999.999.900;101.949.653.171.543;9.102.647.604.602.130;59.019.002.108.284.500;10.197.347.181.950.500;9.104.774.269.598.760;59.019.002.108.284.500
Au;analyte_02;53;6.609.352.280.955.520;10.700.000.000.000.000;10.197.198.179.483.100;9.530.091.756.526.200;6.176.964.748.556.520;10.197.347.181.950.500;9.530.231.011.168.640;6.176.964.748.556.520
Au;analyte_02;54;6.608.654.000.263.450;10.400.000.000.000.000;1.019.927.917.611.000;9.806.999.207.798.020;6.354.475.000.253.280;10.197.347.181.950.500;9.805.141.521.106.210;6.354.475.000.253.280
Au;analyte_02;55;6.608.025.244.998.390;0.9899999999999949;10.201.325.218.731.600;10.304.368.907.809.700;6.674.772.974.745.880;10.197.347.181.950.500;10.300.350.688.838.900;6.674.772.974.745.880
Cu;analyte_01;45;661.471.836.982.808;19.899.999.999.999.900;10.096.647.246.516.800;;;;;
Cu;analyte_01;46;6.613.315.754.240.710;18.900.000.000.000.000;10.099.200.318.261.300;;;;;
Cu;analyte_01;47;6.612.060.245.439.240;18.200.000.000.000.000;10.101.721.810.755.500;;;;;
Cu;analyte_01;48;6.610.936.385.242.850;17.399.999.999.999.900;10.104.281.645.980.600;;;;;
Cu;analyte_01;49;6.609.930.629.787.190;1.670.000.000.000.010;10.106.980.438.637.900;;;;;
