Metal_Thickness_nm,Theta_res_deg,FWHM_deg,Sensitivity_Empirical_deg_per_RIU,Chi_Empirical,Q_Empirical,Sensitivity_Theoretical_deg_per_RIU,Chi_Theoretical,Q_Theoretical
45,62.04136090727151,1.6277518345563635,97.03438656074813,59.6125186289189,38.11475409836083,91.3896622711171,56.144714649346376,38.11475409836083
46,62.04136090727151,1.5476984656437622,97.03438656074813,62.695924764897185,40.08620689655173,91.3896622711171,59.04875161396748,40.08620689655173
47,62.014676450967315,1.4943295530353566,97.03438656074813,64.93506493507209,41.50000000000001,91.3896622711171,61.157635600180605,41.50000000000001
48,62.014676450967315,1.440960640426951,97.03438656074813,67.34006734007475,43.037037037037045,91.3896622711171,63.42273321500211,43.037037037037045
49,62.014676450967315,1.3875917278185455,97.03438656074813,69.93006993007764,44.6923076923077,91.3896622711171,65.86206910788681,44.6923076923077
50,61.987991994663105,1.3342228152101399,72.77578992056756,54.5454545454654,46.46000000000001,91.3896622711171,68.49655187220228,46.46000000000001
51,61.987991994663105,1.2808539026017343,97.03438656074813,75.7575757575841,48.395833333333336,91.3896622711171,71.35057486687738,48.395833333333336
52,61.987991994663105,1.2541694462975244,97.03438656074813,77.3694390715757,49.4255319148939,91.3896622711171,72.86867220447093,49.4255319148939
53,61.96130753835891,1.200800533689133,97.03438656074813,80.80808080808923,51.5999999999997,91.3896622711171,76.10727985800209,51.5999999999997
54,61.96130753835891,1.174116077384923,72.77578992055464,61.98347107438149,52.77272727272729,91.3896622711171,77.83699076386623,52.77272727272729
55,61.96130753835891,1.1474316210807274,97.03438656074813,84.56659619451196,53.99999999999968,91.3896622711171,79.6471533397696,53.99999999999968
