Metal_Thickness_nm,Theta_res_deg,FWHM_deg,Sensitivity_Empirical_deg_per_RIU,Chi_Empirical,Q_Empirical,Sensitivity_Theoretical_deg_per_RIU,Chi_Theoretical,Q_Theoretical
45,62.18,1.3299999999999983,90.90909090910867,68.35269993166074,46.75187969924818,92.17522987541714,69.30468411685509,46.75187969924818
46,62.16,1.25,100.0000000000105,80.0000000000084,49.727999999999994,92.17522987541714,73.74018390033372,49.727999999999994
47,62.150000000000006,1.1899999999999977,90.90909090910222,76.39419404126251,52.22689075630262,92.17522987541714,77.4581763658969,52.22689075630262
48,62.14,1.1199999999999974,90.90909090909575,81.16883116883568,55.48214285714298,92.17522987541714,82.2993123887655,55.48214285714298
49,62.120000000000005,1.0599999999999952,100.0000000000105,94.33962264151977,58.60377358490593,92.17522987541714,86.9577640334128,58.60377358490593
50,62.11,1.009999999999998,90.90909090909575,90.00900090009497,61.495049504950615,92.17522987541714,91.26260383704685,61.495049504950615
51,62.1,0.9600000000000009,100.0000000000105,104.16666666667751,64.68749999999994,92.17522987541714,96.01586445355944,64.68749999999994
52,62.09,0.9200000000000017,90.90909090910867,98.81422924903099,67.48913043478248,92.17522987541714,100.19046725588801,67.48913043478248
53,62.09,0.8900000000000006,90.90909090910222,102.14504596528333,69.76404494382018,92.17522987541714,103.56767401732257,69.76404494382018
54,62.08,0.8399999999999963,90.90909090909575,108.22510822511447,73.90476190476222,92.17522987541714,109.73241651835423,73.90476190476222
55,62.07,0.8199999999999932,90.90909090910867,110.86474501110905,75.69512195122014,92.17522987541714,112.40881692124135,75.69512195122014
