Metal_Thickness_nm,Theta_res_deg,FWHM_deg,Sensitivity_Empirical_deg_per_RIU,Chi_Empirical,Q_Empirical,Sensitivity_Theoretical_deg_per_RIU,Chi_Theoretical,Q_Theoretical
45,61.25,0.9500000000000028,81.81818181819393,86.1244019138881,64.47368421052612,88.1606060172772,92.8006379129231,64.47368421052612
46,61.230000000000004,0.8599999999999994,81.81818181818747,95.1374207188227,71.1976744186047,88.1606060172772,102.51233257822938,71.1976744186047
47,61.21,0.7800000000000011,81.81818181818747,104.89510489511198,78.47435897435886,88.1606060172772,113.02641797086804,78.47435897435886
48,61.19,0.7099999999999937,90.90909090910222,128.0409731114127,86.18309859155005,88.1606060172772,124.16986762996899,86.18309859155005
49,61.18,0.6499999999999986,90.90909090909575,139.86013986014763,94.12307692307712,88.1606060172772,135.63170156504214,94.12307692307712
50,61.16,0.5999999999999943,90.90909090910867,151.51515151518257,101.93333333333429,88.1606060172772,146.93434336213005,101.93333333333429
51,61.150000000000006,0.5600000000000023,81.81818181818747,146.1038961039056,109.19642857142814,88.1606060172772,157.42965360228007,109.19642857142814
52,61.14,0.509999999999998,90.90909090910867,178.25311942962554,119.88235294117693,88.1606060172772,172.86393336721088,119.88235294117693
53,61.129999999999995,0.4799999999999969,90.90909090909575,189.39393939395072,127.35416666666748,88.1606060172772,183.66792920266204,127.35416666666748
54,61.120000000000005,0.4399999999999977,90.90909090910222,206.61157024796066,138.90909090909165,88.1606060172772,200.36501367563105,138.90909090909165
55,61.11,0.4200000000000017,81.81818181819393,194.80519480522287,145.4999999999994,88.1606060172772,209.9062048030401,145.4999999999994
