Metal_Thickness_nm,Theta_res_deg,FWHM_deg,Sensitivity_Empirical_deg_per_RIU,Chi_Empirical,Q_Empirical,Sensitivity_Theoretical_deg_per_RIU,Chi_Theoretical,Q_Theoretical
45,62.20146764509673,0.9873248832555106,97.03438656074813,98.2800982801084,62.99999999999955,92.15501092379394,93.33808200997713,62.99999999999955
46,62.17478318879253,0.9072715143428951,97.03438656074813,106.95187165776579,68.5294117647059,92.15501092379394,101.57379512850525,68.5294117647059
47,62.14809873248832,0.8272181454302938,97.03438656074813,117.30205278593567,75.12903225806387,92.15501092379394,111.40351723771448,75.12903225806387
48,62.14809873248832,0.7471647765176783,72.77578992056756,97.40259740261678,83.17857142857144,92.15501092379394,123.3396083703278,83.17857142857144
49,62.121414276184126,0.6937958639092727,97.03438656074813,139.86013986015527,89.53846153846156,92.15501092379394,132.8272705526607,89.53846153846156
50,62.121414276184126,0.6404269513008671,97.03438656074813,151.5151515151682,97.00000000000003,92.15501092379394,143.89620976538242,97.00000000000003
51,62.094729819879916,0.5870580386924615,97.03438656074813,165.2892561983653,105.77272727272728,92.15501092379394,156.9776833804172,105.77272727272728
52,62.094729819879916,0.5336891260840559,72.77578992056756,136.3636363636635,116.35000000000001,92.15501092379394,172.67545171845893,116.35000000000001
53,62.06804536357572,0.5070046697798603,97.03438656074813,191.38755980863084,122.42105263157725,92.15501092379394,181.76363338784896,122.42105263157725
54,62.06804536357572,0.45363575717145466,97.03438656074813,213.90374331552823,136.8235294117626,92.15501092379394,203.14759025700732,136.8235294117626
55,62.06804536357572,0.42695130086724475,97.03438656074813,227.2727272727523,145.37500000000003,92.15501092379394,215.84431464807366,145.37500000000003
