Metal_Thickness_nm,Theta_res_deg,FWHM_deg,Sensitivity_Empirical_deg_per_RIU,Chi_Empirical,Q_Empirical,Sensitivity_Theoretical_deg_per_RIU,Chi_Theoretical,Q_Theoretical
45,62.05,1.6400000000000006,90.90909090910222,55.43237250555011,37.83536585365852,91.3896622711171,55.72540382385187,37.83536585365852
46,62.04,1.5700000000000003,90.90909090909575,57.90387955993359,39.515923566878975,91.3896622711171,58.209975968864384,39.515923566878975
47,62.03,1.490000000000002,90.90909090910222,61.01281269067255,41.630872483221424,91.3896622711171,61.33534380611878,41.630872483221424
48,62.019999999999996,1.4299999999999997,90.90909090910222,63.572790845526036,43.37062937062937,91.3896622711171,63.90885473504694,43.37062937062937
49,62.010000000000005,1.3800000000000026,90.90909090909575,65.87615283267796,44.93478260869557,91.3896622711171,66.22439295008473,44.93478260869557
50,62.0,1.3200000000000074,90.90909090910222,68.87052341598614,46.969696969696706,91.3896622711171,69.23459262963378,46.969696969696706
51,61.99,1.2800000000000011,90.90909090910222,71.02272727273605,48.42968749999996,91.3896622711171,71.39817364931018,48.42968749999996
52,61.980000000000004,1.240000000000002,90.90909090909575,73.31378299120614,49.98387096774186,91.3896622711171,73.70134054122335,49.98387096774186
53,61.97,1.2000000000000028,90.90909090910867,75.75757575759037,51.641666666666545,91.3896622711171,76.1580518925974,51.641666666666545
54,61.97,1.1700000000000017,90.90909090910867,77.70007770009276,52.96581196581189,91.3896622711171,78.11082245394613,52.96581196581189
55,61.96,1.1400000000000006,90.90909090909575,79.74481658692606,54.35087719298243,91.3896622711171,80.16637041326058,54.35087719298243
